product_family,product_name,product_price,product_brand,product_link
Herramientas Inalámbricas,MultimaXX Inalámbrica Einhell VARRITO 18 V,52900,Einhell,https://herramientas.cl/ficha/610332/multimaxx-inalambrica-einhell-varrito-18-v
Herramientas Inalámbricas,Taladro Atornillador + Caja de herramientas Dewalt 77724070 20V 13mm,219900,Dewalt,https://herramientas.cl/ficha/611703/taladro-atornillador-caja-de-herramientas-dewalt-77724070-20v-13mm
Herramientas Inalámbricas,Atornillador de Impacto + Caja Portaherramientas Dewalt 78724070 20V,249900,Dewalt,https://herramientas.cl/ficha/611704/atornillador-de-impacto-caja-portaherramientas-dewalt-78724070-20v
Linea Neumatica,Compresor 200 litros Gladiator CE 820/220/M/50/3 3hp,417433,Gladiator,https://herramientas.cl/ficha/614749/compresor-200-litros-gladiator-ce-820220m503-3hp
Linea Neumatica,Compresor 200 litros Everest CE-820 3hp,474743,Everest,https://herramientas.cl/ficha/614750/compresor-200-litros-everest-ce-820-3hp
Herramientas Inalámbricas,Combo Taladro Percutor + Rotomartillo + Atornillador de Impacto + Caja Portaherramientas Dewalt 77878713324070 20 V,499900,Dewalt,https://herramientas.cl/ficha/611706/combo-taladro-percutor-rotomartillo-atornillador-de-impacto-caja-portaherramientas-dewalt-77878713324070-20-v
Herramientas Inalámbricas,Kit Taladro y Atornillador de impacto brushless Milwaukee 2892-259C M18,299900,Milwaukee,https://herramientas.cl/ficha/611990/kit-taladro-y-atornillador-de-impacto-brushless-milwaukee-2892-259c-m18
Herramientas Inalámbricas,Taladro percutor inalámbrico Milwaukee 2607-259 1/2,259900,Milwaukee,https://herramientas.cl/ficha/611679/taladro-percutor-inalambrico-milwaukee-2607-259-12
Herramientas Electricas,Rotomartillo Einhell RT-RH 32 230 V,66900,Einhell,https://herramientas.cl/ficha/611240/rotomartillo-einhell-rt-rh-32-230-v
Herramientas Electricas,Taladro Percutor Einhell TC-ID 710 710 W,23500,Einhell,https://herramientas.cl/ficha/598103/taladro-percutor-einhell-tc-id-710-710-w
Herramientas Electricas,Taladro Percutor Einhell TE-ID 500 E 550 W,27500,Einhell,https://herramientas.cl/ficha/587731/taladro-percutor-einhell-te-id-500-e-550-w
Estacionarias,Tronzadora perfiles Milwaukee 6177-59 14,191640,Milwaukee,https://herramientas.cl/ficha/578873/tronzadora-perfiles-milwaukee-6177-59-14
Herramientas Electricas,Taladro Percutor Einhell RT-ID 65/1 650 W,36700,Einhell,https://herramientas.cl/ficha/577289/taladro-percutor-einhell-rt-id-651-650-w
