product_name,product_price,product_brand,product_link
Cepillo Electrico Dongcheng DMB82 500W,44500,Dongcheng,https://herramientas.cl/ficha/591579/cepillo-electrico-dongcheng-dmb82-500w
Taladro Percutor Milwaukee 5375-59 13MM,98960,Milwaukee,https://herramientas.cl/ficha/594401/taladro-percutor-milwaukee-5375-59-13mm
TALADRO IMPACTO Bosch GSB 450 RE 450W,31490,Bosch,https://herramientas.cl/ficha/600979/taladro-impacto-bosch-gsb-450-re-450w
Esmeril Angular Makita GA7020 2.200 W,102140,Makita,https://herramientas.cl/ficha/575686/esmeril-angular-makita-ga7020-2200-w
Fresadora de Cantos Bosch GFF 1600 CE 1600W,234680,Bosch,https://herramientas.cl/ficha/575083/fresadora-de-cantos-bosch-gff-1600-ce-1600w
Martillo Demoledor Makita Makita HM1213C SDS-MAX,714200,Makita,https://herramientas.cl/ficha/575652/martillo-demoledor-makita-makita-hm1213c-sds-max
Taladro Black&Decker TB550 550 W,24130,Black&Decker,https://herramientas.cl/ficha/583129/taladro-black-decker-tb550-550-w
Rotomartillo SDS Plus Dewalt D25333K SDS Plus,271190,Dewalt,https://herramientas.cl/ficha/600085/rotomartillo-sds-plus-dewalt-d25333k-sds-plus
Sierra Ingleteadora 10 Stanley STSM1525-B2C 1.600 W,187000,Stanley,https://herramientas.cl/ficha/611322/sierra-ingleteadora-10-stanley-stsm1525-b2c-1600-w
Lijadora Excéntrica Bosch GEX 125-150 AVE 400 W,153500,Bosch,https://herramientas.cl/ficha/575036/lijadora-excentrica-bosch-gex-125-150-ave-400-w
Llave de Impacto 1/2 Makita TW0350 400W,279640,Makita,https://herramientas.cl/ficha/575610/llave-de-impacto-12-makita-tw0350-400w
Lijadora Orbital 310W 1/2,40820,Stanley,https://herramientas.cl/ficha/588480/lijadora-orbital-310w-12
ESMERIL 180 MM CROWN 2200 W,81680,Uyustools,https://herramientas.cl/ficha/584566/esmeril-180-mm-crown-2200-w
Sierra Caladora Makita 4350CT 720W,160370,Makita,https://herramientas.cl/ficha/575722/sierra-caladora-makita-4350ct-720w
Sierra Caladora Dongcheng DMQ85 580W,70270,Dongcheng,https://herramientas.cl/ficha/591581/sierra-caladora-dongcheng-dmq85-580w
