product_brand,product_name,product_price,product_link
Bosch Herramientas,Kit Cyberday Taladro Percusión 800W GSB 20-2+Set Puntas y Brocas 40 Pzs Bosch 0601.1A2.0E1-000,143480,https://www.toolmania.cl/taladros/kit-cyberday-taladro-percusion-800w-gsb-20-2set-puntas-y-brocas-40-pzs-bosch-06011a20e1-000-6312.html
Bosch Herramientas,Kit Cyberday Taladro Percusión 800 W GSB 20-2 RE+Set Puntas y Brocas 40 Pzs Bosch 0601.1A2.1E1-000,162480,https://www.toolmania.cl/taladros/kit-cyberday-taladro-percusion-800-w-gsb-20-2-reset-puntas-y-brocas-40-pzs-bosch-06011a21e1-000-6313.html
Bosch Herramientas,Kit Cyberday Taladro Rotación 350 W GBM 6 RE+Set Brocas para Madera 7 pzs Bosch 0601.472.6E0-000,54980,https://www.toolmania.cl/taladros/kit-cyberday-taladro-rotacion-350-w-gbm-6-reset-brocas-para-madera-7-pzs-bosch-06014726e0-000-6314.html
Bosch Herramientas,Kit Cyberday Taladro Rotación 600W GBM 10 RE+Set Brocas para Madera 7 pzs Bosch 0601.473.6E0-000,64480,https://www.toolmania.cl/taladros/kit-cyberday-taladro-rotacion-600w-gbm-10-reset-brocas-para-madera-7-pzs-bosch-06014736e0-000-6315.html
Bosch Herramientas,Kit Cyberday Taladro 850W GBM 1600 RE+Set Puntas y Brocas 40 Pzs Bosch 0601.1B0.0E0-000,129480,https://www.toolmania.cl/taladros/kit-cyberday-taladro-850w-gbm-1600-reset-puntas-y-brocas-40-pzs-bosch-06011b00e0-000-6316.html
Bosch Herramientas,Kit Cyberday Taladro Reversible Bosch GBM 13 RE+Set Puntas y Brocas 40 Pzs Bosch 0601.1A5.0E0-000,145480,https://www.toolmania.cl/taladros/kit-cyberday-taladro-reversible-bosch-gbm-13-reset-puntas-y-brocas-40-pzs-bosch-06011a50e0-000-6317.html
Makita,"Sierra Ingleteadora 12"" con Base Superior Makita LH120FL",659990,https://www.toolmania.cl/corte-ceramica/sierra-ingleteadora-12-con-base-superior-makita-lh120fl-6328.html
Makita,Kit Rotomartillo HR4510C + Aspiradora húmedo y seco VC3210LX1 + Accesorios Makita HR4510C-1,1113990,https://www.toolmania.cl/rotomartillos/kit-rotomartillo-mas-aspiradora-humedo-y-seco-mas-accesorios-makita-hr4510c-1-6334.html
Makita,Kit Rotomartillo HR5212C + Aspiradora húmedo seco VC3210LX1 + Accesorios Makita HR5212C-1,1158490,https://www.toolmania.cl/rotomartillos/kit-rotomartillo-mas-aspiradora-humedo-seco-mas-accesorios-makita-hr5212c-1-6335.html
Makita,"Kit Tronzadora Portátil 350mm LW1401 + Esmeril Angular 4-1/2"" 9557HNG Makita LW1401-2",234990,https://www.toolmania.cl/tronzadoras/kit-tronzadora-portatil-350mm-lw1401-esmeril-angular-4-1-2-9557hng-makita-lw1401-2-8751.html
Makita,Taladro Percutor 720 W 2 Velocidades + Maleta con Accesorios Makita HP2050HX1,210990,https://www.toolmania.cl/taladros/taladro-percutor-720-w-2-velocidades-maleta-con-accesorios-makita-hp2050hx1-8755.html
Total Tools,Pistola de Calor 2000W Total Tools TB1206,22752,https://www.toolmania.cl/otras/pistola-de-calor-inalambrica-2000w-total-tools-tb1206-8936.html
Makita,"Rebajadora 1/2"" (12 mm) Makita 3601B",359000,https://www.toolmania.cl/fresadoras/makita-rebajadora-1-2-12-mm-cod-3601b-16-4.html#
Makita,Vibrador de Concreto 2200W VR1000 + Eje Flexible 1.5M Makita VR1000 - 1,489990,https://www.toolmania.cl/otras/vibrador-de-concreto-2200w-vr1000-eje-flexible-15m-makita-vr1000-1-8789.html
Makita Inalambrico,Recortadora Inalámbrica DRT50 + 1 Batería 3.0 Ah 18 V + 1 Cargador Normal + Bolso Makita DRT50SFX8,169992,https://www.toolmania.cl/otras-herramientas-inalambricas/recortadora-inalambrica-drt50-1-bateria-30-ah-18-v-1-cargador-normal-bolso-makita-drt50sfx8-8799.html
Makita,Rotomartillo con Extractor de Polvo Makita HR2650,178130,https://www.toolmania.cl/rotomartillos/rotomartillo-con-extractor-de-polvo-makita-hr2650-8801.html
Total Tools,Rectificador Herramienta multiuso 130W Total Tools TG501032,19900,https://www.toolmania.cl/rectificadoras/rectificador-herramienta-multiuso-130w-total-tools-tg501032-8913.html
Total Tools,Taladro Percutor 13mm 1010W Total Tools TG111136,39887,https://www.toolmania.cl/taladros/taladro-percutor-13mm-1010w-total-tools-tg111136-8915.html
Total Tools,Esmeril Angular 115mm (4 ½”) 950W Total Tools TG1091156,30840,https://www.toolmania.cl/esmeriles/esmeril-angular-115mm-4-950w-total-tools-tg1091156-8919.html
Total Tools,Sierra Circular 185mm (7 ¼”) 1400W Total Tools TS1141856,51090,https://www.toolmania.cl/sierras-circulares/sierra-circular-185mm-7-1400w-total-tools-ts1141856-8926.html
Total Tools,Sierra Ingleteadora 255mm 1800W Total Tools TS42182551,158767,https://www.toolmania.cl/sierras-ingleteadoras/sierra-ingleteadora-255mm-1800w-total-tools-ts42182551-8927.html
Total Tools,Sierra Caladora 570W Total Tools TS205656,32040,https://www.toolmania.cl/sierras-caladoras/sierra-caladora-570w-total-tools-ts205656-8928.html
Total Tools,Sierra Sable 750W Total Tools TS100802,62990,https://www.toolmania.cl/sierras-sable/sierra-sable-750w-total-tools-ts100802-8930.html
Total Tools,Lijadora Orbital Rectangular 180 x 90mm 320W Total Tools TF1301826,33240,https://www.toolmania.cl/lijadoras/lijadora-orbital-rectangular-180-x-90mm-320w-total-tools-tf1301826-8931.html
Total Tools,Cepillo Eléctrico 82mm 1050W Total Tools TL1108236,65340,https://www.toolmania.cl/cepillos-electricos/cepillo-electrico-82mm-1050w-total-tools-tl1108236-8934.html
Total Tools,Respaldo Pulidora 180mm Total Tools TAC7111801,5489,https://www.toolmania.cl/bonetes/respaldo-pulidora-180mm-total-tools-tac7111801-9007.html
Makita Inalambrico,"Tronzadora Inalámbrica 14"" + 2 Baterías 5.0Ah + Cargador Makita DLW140PT2",514000,https://www.toolmania.cl/tronzadoras/tronzadora-inalambrica-14-2-baterias-50ah-cargador-makita-dlw140pt2-9956.html
Total Tools,Taladro Atornillador 10mm 280W Total Tools TD502106,28940,https://www.toolmania.cl/atornilladores/taladro-atornillador-10mm-280w-total-tools-td502106-11130.html
Total Tools,"Cortadora de Marmol 1400W 110mm (4-3/8"") Total Tools TS3141102",60940,https://www.toolmania.cl/cortadoras-de-pavimento/cortadora-de-marmol-1400w-110mm-4-3-8-total-tools-ts3141102-11153.html
Total Tools,Ensambladora para Madera 950W 100MM Total Tools TS70906,79290,https://www.toolmania.cl/ensambladoras/ensambladora-para-madera-950w-100mm-total-tools-ts70906-11155.html
